IDs,Longitude,Latitude,Accident_Severity
361,-0.224972,51.520007,3
362,-0.198921,51.493441,3
365,-0.185761,51.480199,3
368,-0.209922,51.499455,3
369,-0.217463,51.516656,3
375,-0.205297,51.514492,3
376,-0.214895,51.504927,3
377,-0.19136,51.502498,2
378,-0.17111,51.486446,3
379,-0.181591,51.480045,3
380,-0.21766,51.51531,3
381,-0.210496,51.517899,3
383,-0.191385,51.494584,3
390,-0.208422,51.500961,3
394,-0.168533,51.493241,2
395,-0.16217,51.490263,2
396,-0.167342,51.48342,3
397,-0.217871,51.517292,3
406,-0.173308,51.481894,3
407,-0.172625,51.495373,3
409,-0.203453,51.513744,3
410,-0.189513,51.494556,3
415,-0.16489,51.490666,3
416,-0.176936,51.488425,2
419,-0.210626,51.51826,3
420,-0.158397,51.494521,3
421,-0.211185,51.518719,3
424,-0.150835,51.485589,3
427,-0.173986,51.497372,3
428,-0.224516,51.52063,3
430,-0.200249,51.492652,3
431,-0.20776,51.51417,2
438,-0.160559,51.501659,3
440,-0.172887,51.485215,3
445,-0.187302,51.492183,3
446,-0.181206,51.493348,3
450,-0.19222,51.495317,3
451,-0.199244,51.514489,3
457,-0.157609,51.49262,3
458,-0.161378,51.492049,3
461,-0.183184,51.490681,3
462,-0.191796,51.487846,3
465,-0.184312,51.484044,2
466,-0.171686,51.493649,3
468,-0.157374,51.498461,3
469,-0.158662,51.484363,3
474,-0.176936,51.488425,3
483,-0.185525,51.493415,3
487,-0.173448,51.481986,3
491,-0.220679,51.52291,3
497,-0.194258,51.509377,3
499,-0.217723,51.513692,3
501,-0.20157,51.513985,3
503,-0.171603,51.495716,3
506,-0.191461,51.48901,3
508,-0.195428,51.508945,3
516,-0.177812,51.495363,3
523,-0.210536,51.505849,3
524,-0.203936,51.508806,3
526,-0.162426,51.483882,3
529,-0.174565,51.490097,3
532,-0.180702,51.495139,3
537,-0.198564,51.491548,3
539,-0.185942,51.4829,2
540,-0.210344,51.499731,3
545,-0.209404,51.516353,3
546,-0.18153,51.481572,3
547,-0.15895,51.484368,2
549,-0.17972,51.480016,3
551,-0.162485,51.50034,2
552,-0.213736,51.523524,3
554,-0.176936,51.488425,3
555,-0.16972,51.488763,3
556,-0.197891,51.497652,3
563,-0.176356,51.484909,3
564,-0.192368,51.509797,2
574,-0.20352,51.497379,3
575,-0.179125,51.491337,3
581,-0.181607,51.501358,3
582,-0.192377,51.50593,3
584,-0.215545,51.517796,3
585,-0.20584,51.522684,3
589,-0.193993,51.505146,2
591,-0.208163,51.52227,3
593,-0.191936,51.50979,3
595,-0.173592,51.481989,3
599,-0.222136,51.515108,3
600,-0.15952,51.491661,3
604,-0.193004,51.500994,3
605,-0.182073,51.493271,3
607,-0.200691,51.49239,2
610,-0.079251,51.509528,2
613,-0.094267,51.512291,3
615,-0.086694,51.510729,3
619,-0.106569,51.511051,3
623,-0.091046,51.513497,3
627,-0.093342,51.510297,3
639,-0.074456,51.507021,3
640,-0.104268,51.510924,3
646,-0.093695,51.512191,3
648,-0.102203,51.51206,3
650,-0.092672,51.512535,3
651,-0.104087,51.51182,3
654,-0.080687,51.509641,3
657,-0.097405,51.519985,3
662,-0.088211,51.512372,3
663,-0.104426,51.514074,3
667,-0.104308,51.513443,3
669,-0.107305,51.517628,3
671,-0.104669,51.515157,2
672,-0.086455,51.509556,3
675,-0.085205,51.511873,3
676,-0.075757,51.513787,3
679,-0.081253,51.516755,3
686,-0.080199,51.517817,3
688,-0.08669,51.510818,3
689,-0.078819,51.509521,3
690,-0.096882,51.511794,3
696,-0.097146,51.515845,3
698,-0.07689,51.514255,3
702,-0.102046,51.515834,3
703,-0.091322,51.510354,3
705,-0.085362,51.518441,3
706,-0.07523,51.505775,3
710,-0.096639,51.517635,3
715,-0.081149,51.508929,3
717,-0.108365,51.516386,3
720,-0.076787,51.513264,3
721,-0.085209,51.511783,2
723,-0.08601,51.516743,3
724,-0.104426,51.514074,3
